7.21627892950056e-11,1.44840362710351e-10,3.00750031740625e-10,1.53784465501117e-10,-4.31254017225017e-11,1.41234827226445e-10
6.9525482239207e-11,1.4080052776133e-10,3.06484241164834e-10,1.5760112133094e-10,-5.01002197099878e-11,1.36725740770509e-10
6.55851095854688e-11,1.33753890151817e-10,3.1521479982683e-10,1.64255484436748e-10,-5.79985961130026e-11,1.30776550837199e-10
5.99178236809129e-11,1.23730294532425e-10,3.26572766644456e-10,1.73956348545785e-10,-6.73417204131474e-11,1.23075258634122e-10
5.29783213647249e-11,1.10798694778082e-10,3.40873431694161e-10,1.86483593033502e-10,-7.75448285249823e-11,1.1398230084494e-10
4.43419405302805e-11,9.49749936986322e-11,3.57734666253405e-10,2.02014568744486e-10,-8.9087812089765e-11,1.03181928887611e-10
3.4483124721225e-11,7.63737292002043e-11,3.77473633167241e-10,2.20341967451645e-10,-1.01324302406525e-10,9.11390034933206e-11
2.30517158999871e-11,5.50587020299407e-11,3.99782600209096e-10,2.41691353542474e-10,-1.14610955729061e-10,7.76069562700104e-11
1.05068099066739e-11,3.1144159752213e-11,4.24903961890184e-10,2.65805169019569e-10,-1.28376823792368e-10,6.30343396585282e-11
-3.50071204990031e-12,4.67342152659261e-12,4.52518104679547e-10,2.92860246544241e-10,-1.42954604742149e-10,4.7127844332866e-11
-1.85343371427661e-11,-2.42367019308106e-11,4.82834844287026e-10,3.22595026625513e-10,-1.57759653382842e-10,3.04180692536264e-11
-3.49041899291706e-11,-5.55240073109924e-11,5.15594769628874e-10,3.55201562648464e-10,-1.72999578967862e-10,1.26504829970356e-11
-5.22107275450628e-11,-8.90862118407585e-11,5.50922869775039e-10,3.90370864514979e-10,-1.88179466445248e-10,-5.64912300213529e-12
-7.07373810196814e-11,-1.24859955747169e-10,5.88577918934466e-10,4.28267145410064e-10,-2.03475027866026e-10,-2.48016038496964e-11
-9.00978826129763e-11,-1.62738712172975e-10,6.28652774881598e-10,4.68593538710938e-10,-2.18408680256217e-10,-4.41948585318633e-11
-1.10527740944324e-10,-2.02638533520851e-10,6.70971203011729e-10,5.11531238173956e-10,-2.33071787571715e-10,-6.41741708680384e-11
-1.31669264342438e-10,-2.44459726843984e-10,7.15533595178427e-10,5.56738025626684e-10,-2.4711881824879e-10,-8.41431656794642e-11
-1.5374277861406e-10,-2.88122064327873e-10,7.62199992904001e-10,6.0437777219966e-10,-2.60606304639873e-10,-1.0452871509926e-10
-1.76425703938236e-10,-3.33536323059326e-10,8.10955938220269e-10,6.54140027933064e-10,-2.73161037326831e-10,-1.24581017260929e-10
-1.99906260493127e-10,-3.80616231138542e-10,8.61752042803299e-10,7.06230787046937e-10,-2.84767957568204e-10,-1.44761305128931e-10
-2.23880863084647e-10,-4.29273967273149e-10,9.14506182021707e-10,7.60321646658408e-10,-2.95156420454593e-10,-1.64289063737848e-10
-2.48520952997216e-10,-4.79426899791267e-10,9.69191334088872e-10,8.16591601978512e-10,-3.04400174197094e-10,-1.83797887708993e-10
-2.73566399871519e-10,-5.3100586719964e-10,1.0256897020414e-09,8.74721469923906e-10,-3.12235709203608e-10,-2.02395183393399e-10
-2.9917775036453e-10,-5.83936297192594e-10,1.08404121099562e-09,9.34910318059295e-10,-3.18783105097545e-10,-2.20808501324751e-10
-3.25120028562128e-10,-6.38151692526274e-10,1.14406242913854e-09,9.96816297657491e-10,-3.2385907533958e-10,-2.38131199598277e-10
-3.51530287113039e-10,-6.93577485335228e-10,1.205832923627e-09,1.06063762926994e-09,-3.27731511208918e-10,-2.55240520204945e-10
-3.78201200962933e-10,-7.50156551669882e-10,1.26913973937515e-09,1.12604401948363e-09,-3.30216325340623e-10,-2.71177991591272e-10
-4.05250448628296e-10,-8.07821792963603e-10,1.33412512003153e-09,1.19326161054107e-09,-3.31686400832703e-10,-2.86885676441184e-10
-4.32480930773433e-10,-8.66506136655647e-10,1.40051379213251e-09,1.26193464671663e-09,-3.32022783680937e-10,-3.01475709311547e-10
-4.59997146870107e-10,-9.26163271231655e-10,1.46849690838307e-09,1.33231130245147e-09,-3.31704371230141e-10,-3.15923950949198e-10
