ID,forces (N)
101,926.276462043358
102,1025.818216768256
103,1010.4742882620712
104,1013.9690772183512
105,1071.7947320875683
106,856.4350605440579
107,1010.0464153064299
108,1021.4041835780303
109,999.0187460063744
110,1038.3441491965477
111,1126.8168974010289
112,291.28297997333266
114,919.0514482744868
115,1012.4324955208687
116,1004.7343595664187
117,1002.0284709906971
118,1089.6828144644587
119,396.51772002117787
120,1029.4528435821037
121,1037.6006868542738
122,1008.4468691716941
123,1071.9215999271069
124,1117.6343153689338
125,875.6631383352602
127,963.1796438877457
128,1084.3441559247692
129,1137.6792142898603
130,1066.6140373926705
131,942.8719397351034
132,1130.4316259856714
133,1138.1560092945208
134,1035.3134453527778
135,716.742097334844
136,755.406573435436
137,1061.8054871250808
138,1129.1150015546905
139,625.6834563857711
140,971.0061413524217
141,935.4608414188802
142,879.4047326377458
143,516.5131334262194
207,1003.3793831475449
208,1012.0237162328159
209,995.7095811401362
210,1040.736068364595
211,1129.4910306292916
212,292.4966004372408
214,908.3015127008568
215,1008.1956844382742
216,1012.0759253313107
217,1011.8179587137572
218,1093.3768985077943
219,395.603274462493
220,1021.3573402552119
221,1029.760506247841
222,1014.2112563598125
223,1087.3487685256375
224,1130.0057317265223
225,878.4207757237921
227,951.7359737514959
228,1080.9080847359182
229,1149.6507007224993
230,1085.5519609008772
231,957.2509561135361
232,1118.9226525959416
233,1122.0841085747259
234,1031.9922798886564
235,730.1407648712176
236,776.1216054811474
237,1053.4972732007125
238,1103.9442775214968
239,608.8043154483795
240,964.3330088896128
241,918.9740200272804
242,845.6233496120377
243,489.2054329265047
301,921.7812380863495
302,1018.9297735784298
303,1003.5036409767464
304,1009.3618476811014
305,1070.8443747397184
306,858.0371403614389
307,1001.9844426669666
308,1014.9781995575548
309,996.1527813264277
310,1040.61673038109
311,1132.1376476204075
312,295.1164465286887
314,911.3106663546739
315,1012.3319459341734
316,1013.7257221492038
317,1014.524924501374
318,1102.0037639540644
319,406.5705050926482
320,1028.773418419098
321,1036.4176499262794
322,1013.1750508025252
323,1087.5373819614763
324,1140.0786875506976
325,894.636459679799
327,960.2978390264849
328,1080.7508633385464
329,1143.3396586314707
330,1080.6965537321503
331,969.9108857575031
332,1142.255179342197
333,1128.277119495512
334,1015.7100107690419
335,710.3230602233268
336,768.4719120728142
337,1088.4321530387872
338,1125.4847110862227
339,597.4228787949921
340,936.5771360152917
341,966.2854467830384
342,862.2484487333484
343,472.20994341756546
407,999.6600268620113
408,1015.0320022380637
409,1004.3891916734624
410,1053.2121578991612
411,1140.693903902519
412,298.51231571463165
414,904.0340038233323
415,1012.1481367765987
416,1024.780272899097
417,1028.0293973090827
418,1109.1369193357218
419,407.9926759467665
420,1022.4731045305211
421,1029.0655836382396
422,1014.3779107303317
423,1095.5200796682677
424,1146.852125010812
425,897.9634254328971
427,954.9252713592465
428,1076.4018466657458
429,1141.634773692225
430,1079.0704727190034
431,968.8710339509408
432,1142.8216275632712
433,1128.525231856743
434,1012.7522434098146
435,702.966583715565
436,759.196449959076
437,1091.239792918498
438,1133.4682088328732
439,599.7535949138361
440,933.1706663012187
441,973.561809299433
442,875.382603091384
443,479.6858158737649
1112,915.2027495998001
1135,464.1937802508053
1212,915.376358249174
1235,477.37963718472025
1312,921.1894038942992
1335,454.01104928646424
1412,920.5526721716234
1435,443.17190926857063
144,852.5087002935624
313,852.8876289114537
326,910.5355536454011
113,853.9963060107063
126,903.7956711651879
1144,852.5087002935624
1313,852.8876289114537
1326,910.5355536454011
1113,853.9963060107063
1126,903.7956711651879
